[GIN] 2026/06/19 - 07:11:03 | 200 |     12.9429ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     23.0951ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     14.5104ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |       23.57ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     14.0022ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     25.4451ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     13.9868ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     15.5137ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:03 | 200 |     24.4928ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |      19.781ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     22.8438ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     15.5634ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     24.6112ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     15.6819ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |      24.441ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     15.2431ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     25.2563ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     14.4801ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     14.0743ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     24.3367ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:08 | 200 |     15.0198ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     24.8829ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     14.0068ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     23.7063ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     23.7739ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |      15.059ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:11:09 | 200 |     14.0855ms |       127.0.0.1 | POST     "/api/embed"
